thres, far, frr
0.24300000000000002, 0.0, 0.303125
0.24500000000000002, 0.0, 0.29776785714285714
0.24700000000000003, 0.0, 0.2948660714285714
0.24900000000000003, 0.0, 0.29196428571428573
0.251, 0.0, 0.28794642857142855
0.253, 0.0, 0.28549107142857144
0.255, 4.44871521104705E-6, 0.28214285714285714
0.257, 4.44871521104705E-6, 0.27767857142857144
0.259, 4.44871521104705E-6, 0.2732142857142857
0.261, 4.44871521104705E-6, 0.26964285714285713
0.263, 8.8974304220941E-6, 0.26651785714285714
0.265, 8.8974304220941E-6, 0.26183035714285713
0.267, 8.8974304220941E-6, 0.2575892857142857
0.269, 8.8974304220941E-6, 0.25424107142857144
0.271, 8.8974304220941E-6, 0.2517857142857143
0.273, 8.8974304220941E-6, 0.2486607142857143
0.275, 8.8974304220941E-6, 0.2450892857142857
0.277, 8.8974304220941E-6, 0.24174107142857143
0.279, 1.3346145633141149E-5, 0.2375
0.281, 1.3346145633141149E-5, 0.2330357142857143
0.28300000000000003, 1.3346145633141149E-5, 0.23013392857142856
0.28500000000000003, 1.3346145633141149E-5, 0.2252232142857143
0.28700000000000003, 1.3346145633141149E-5, 0.2234375
0.28900000000000003, 1.77948608441882E-5, 0.2203125
0.29100000000000004, 1.77948608441882E-5, 0.21651785714285715
0.29300000000000004, 2.2243576055235248E-5, 0.21205357142857142
0.29500000000000004, 2.6692291266282297E-5, 0.20825892857142858
0.29700000000000004, 2.6692291266282297E-5, 0.20491071428571428
0.29900000000000004, 2.6692291266282297E-5, 0.20223214285714286
0.30100000000000005, 3.1141006477329346E-5, 0.19933035714285716
0.30300000000000005, 3.55897216883764E-5, 0.19642857142857142
0.30500000000000005, 3.55897216883764E-5, 0.19486607142857143
0.30700000000000005, 3.55897216883764E-5, 0.19196428571428573
0.30900000000000005, 3.55897216883764E-5, 0.18973214285714285
0.31100000000000005, 4.0038436899423444E-5, 0.18816964285714285
0.31300000000000006, 4.0038436899423444E-5, 0.18482142857142858
0.31500000000000006, 4.0038436899423444E-5, 0.18325892857142856
0.317, 4.0038436899423444E-5, 0.18214285714285713
0.319, 4.0038436899423444E-5, 0.18013392857142857
0.321, 4.0038436899423444E-5, 0.17745535714285715
0.323, 4.0038436899423444E-5, 0.17522321428571427
0.325, 4.0038436899423444E-5, 0.17254464285714285
0.327, 4.0038436899423444E-5, 0.17120535714285715
0.329, 4.0038436899423444E-5, 0.16919642857142858
0.331, 4.0038436899423444E-5, 0.16674107142857142
0.333, 4.4487152110470496E-5, 0.16383928571428572
0.335, 4.4487152110470496E-5, 0.16205357142857144
0.337, 4.4487152110470496E-5, 0.1609375
0.339, 4.4487152110470496E-5, 0.15848214285714285
0.341, 4.4487152110470496E-5, 0.15602678571428572
0.343, 4.4487152110470496E-5, 0.15424107142857144
0.34500000000000003, 4.4487152110470496E-5, 0.15245535714285716
0.34700000000000003, 4.4487152110470496E-5, 0.15066964285714285
0.34900000000000003, 4.4487152110470496E-5, 0.14888392857142857
0.35100000000000003, 4.4487152110470496E-5, 0.14776785714285715
0.35300000000000004, 4.4487152110470496E-5, 0.14665178571428572
0.35500000000000004, 4.4487152110470496E-5, 0.14397321428571427
0.35700000000000004, 4.4487152110470496E-5, 0.14285714285714285
0.35900000000000004, 4.893586732151755E-5, 0.1419642857142857
0.36100000000000004, 4.893586732151755E-5, 0.14129464285714285
0.363, 4.893586732151755E-5, 0.13973214285714286
0.365, 4.893586732151755E-5, 0.13816964285714287
0.367, 5.3384582532564594E-5, 0.13727678571428573
0.369, 5.7833297743611647E-5, 0.13616071428571427
0.371, 6.228201295465869E-5, 0.13504464285714285
0.373, 6.228201295465869E-5, 0.134375
0.375, 6.228201295465869E-5, 0.13325892857142857
0.377, 6.228201295465869E-5, 0.13013392857142858
0.379, 6.673072816570574E-5, 0.12857142857142856
0.381, 7.11794433767528E-5, 0.12611607142857142
0.383, 7.562815858779985E-5, 0.12477678571428572
0.385, 7.562815858779985E-5, 0.12276785714285714
0.387, 7.562815858779985E-5, 0.12053571428571429
0.389, 7.562815858779985E-5, 0.11919642857142858
0.391, 8.007687379884689E-5, 0.11875
0.393, 8.452558900989394E-5, 0.11763392857142857
0.395, 9.342301943198804E-5, 0.11629464285714286
0.397, 9.342301943198804E-5, 0.11495535714285714
0.399, 9.342301943198804E-5, 0.1140625
0.401, 9.342301943198804E-5, 0.1125
0.403, 9.78717346430351E-5, 0.11160714285714286
0.405, 1.0232044985408214E-4, 0.11049107142857142
0.40700000000000003, 1.0676916506512919E-4, 0.10892857142857143
0.40900000000000003, 1.1121788027617624E-4, 0.1078125
0.41100000000000003, 1.1566659548722329E-4, 0.10714285714285714
0.41300000000000003, 1.2456402590931738E-4, 0.10602678571428571
0.41500000000000004, 1.423588867535056E-4, 0.10491071428571429
0.41700000000000004, 1.6460246280874084E-4, 0.10401785714285715
0.41900000000000004, 1.868460388639761E-4, 0.10290178571428571
0.42100000000000004, 2.1798704534130544E-4, 0.10133928571428572
0.42300000000000004, 2.7582034308491706E-4, 0.10044642857142858
0.42500000000000004, 3.4255107125062283E-4, 0.09910714285714285
0.42700000000000005, 4.181792298384227E-4, 0.09866071428571428
0.42900000000000005, 5.427432557477401E-4, 0.09732142857142857
0.43100000000000005, 6.584098512349634E-4, 0.09620535714285715
0.43300000000000005, 8.185635988326571E-4, 0.09575892857142858
0.43500000000000005, 0.0011032813723396682, 0.09441964285714285
0.43700000000000006, 0.0014057940066908676, 0.09308035714285715
0.43900000000000006, 0.0019040501103281373, 0.09263392857142858
